NumOfWorm	NumOfLeaf	NumOfAggressiveFish	NumOfAlg	NumOfPassiveFish	Cycle
10	12	10	6	18	0	
6	11	10	6	16	1	
4	10	10	6	14	2	
12	22	11	6	13	3	
12	21	13	6	11	4	
11	20	13	6	10	5	
19	29	10	6	6	6	
17	28	10	6	6	7	
15	24	11	6	4	8	
24	36	9	6	3	9	
24	36	6	6	3	10	
22	36	6	6	3	11	
31	47	3	6	3	12	
31	46	4	6	1	13	
29	46	4	6	2	14	
39	58	4	6	2	15	
39	58	4	6	2	16	
38	57	4	6	2	17	
48	68	3	6	1	18	
48	66	1	6	1	19	
48	59	0	6	2	20	
58	69	0	6	2	21	
55	67	0	6	2	22	
54	65	0	6	2	23	
64	71	0	6	2	24	
55	69	0	6	4	25	
54	65	0	6	4	26	
64	71	0	6	4	27	
55	70	0	6	4	28	
55	63	0	6	4	29	
65	70	0	6	4	30	
55	70	0	6	4	31	
55	63	0	6	4	32	
65	69	0	6	4	33	
56	68	0	6	4	34	
56	61	0	6	4	35	
64	70	0	6	4	36	
53	66	0	6	4	37	
53	60	0	6	4	38	
63	66	0	6	6	39	
50	65	0	6	6	40	
49	62	0	6	6	41	
59	68	0	6	7	42	
49	66	0	6	7	43	
49	64	0	6	7	44	
58	67	0	6	7	45	
48	65	0	6	7	46	
46	62	0	6	7	47	
56	66	0	6	7	48	
44	63	0	6	9	49	
42	55	0	6	9	50	
52	65	0	6	9	51	
44	62	0	6	9	52	
42	57	0	6	9	53	
52	63	0	6	10	54	
42	62	0	6	10	55	
42	57	0	6	10	56	
51	64	0	6	10	57	
45	61	0	6	11	58	
44	54	0	6	11	59	
53	63	0	6	11	60	
46	61	0	6	11	61	
44	57	0	6	11	62	
54	64	0	6	11	63	
43	62	0	6	11	64	
41	59	0	6	12	65	
50	62	0	6	12	66	
43	56	0	6	12	67	
42	51	0	6	13	68	
51	60	0	6	13	69	
39	59	0	6	10	70	
37	57	0	6	10	71	
47	61	0	6	10	72	
37	58	0	6	12	73	
35	54	0	6	12	74	
43	61	0	6	12	75	
37	57	0	6	12	76	
36	50	0	6	10	77	
45	59	0	6	10	78	
37	55	0	6	10	79	
36	50	0	6	11	80	
41	57	0	6	13	81	
32	51	0	6	15	82	
29	42	0	6	16	83	
34	48	0	6	18	84	
28	42	0	6	18	85	
23	37	0	6	20	86	
28	44	0	6	22	87	
20	40	0	6	23	88	
18	35	0	6	23	89	
26	39	0	6	24	90	
19	36	0	6	24	91	
14	31	0	6	24	92	
20	37	0	6	24	93	
12	32	0	6	25	94	
9	26	0	6	24	95	
16	36	0	6	25	96	
10	29	0	6	25	97	
7	25	0	6	27	98	
14	32	0	6	28	99	
